INDEX,S1,S2,S3,S4
133,-11,6,-7,13
134,0,10,14,-4
135,14,1,-2,1
136,-4,-7,8,-15
137,-4,13,14,6
138,-12,-9,-8,7
139,14,-9,6,-13
140,7,-1,-15,2
141,2,13,4,8
142,13,-5,11,-7
143,-1,-7,-7,9
144,9,4,2,-11
145,11,-3,15,13
146,-1,5,2,9
147,2,-2,-2,-10
148,13,5,-14,-2
149,14,8,-14,7
150,10,13,-13,-2
151,12,-12,5,-9
152,-2,11,1,8
153,-5,-4,-11,8
154,6,2,13,-1
155,14,-6,10,-4
156,-6,8,-14,5
157,8,3,-8,-5
158,6,-6,10,5
159,-15,5,6,-8
160,-2,10,1,-15
161,13,7,-9,-9
162,10,1,-10,-9
163,-7,9,-14,1
164,-7,8,-12,3
165,2,-1,9,-8
166,12,11,-3,-1
167,-3,-3,3,3
168,6,-7,8,-9
169,-12,-9,-15,-2
170,-1,8,-3,9
171,8,1,4,-9
172,8,13,11,-5
173,7,-2,1,-11
174,-1,-5,9,2
175,15,-5,10,-10
176,2,4,6,7
177,15,-7,11,9
178,7,-6,14,-6
179,5,1,12,-10
180,12,0,-14,-1
181,-14,-8,-15,6
182,8,-3,-14,3
183,3,-14,-14,7
184,0,15,5,-9
185,3,10,2,-1
186,7,13,9,-4
187,13,0,3,6
188,4,3,9,11
189,14,1,9,-2
190,-5,-15,15,-8
191,-8,15,-12,2
192,-13,9,12,-15
193,-8,3,-4,3
194,12,10,7,3
195,-9,-9,9,-10
196,7,-7,-14,-6
197,-15,-4,-3,-2
198,8,1,4,-5
199,15,-2,-6,6
200,3,5,-5,-9
201,-15,13,13,-14
202,-2,-2,-7,-4
203,-8,-13,4,-6
204,3,5,-6,5
205,-10,-8,-11,2
206,-3,-4,-13,8
207,-11,-2,1,-11
208,-10,11,-6,-3
209,-4,-14,-12,-14
210,10,-14,5,-12
211,15,13,-10,-11
212,2,9,14,1
213,9,-2,-10,-12
214,-11,11,14,-1
215,-7,-5,6,-10
216,-13,-11,-2,-15
217,-6,-11,14,4
218,-7,-11,6,-1
219,-6,11,-14,3
220,-4,10,10,-15
221,15,-1,-10,-15
222,8,9,-6,-7
223,-12,4,-6,-15
224,2,-13,15,0
225,2,-15,-2,12
226,-4,-12,-1,4
227,-12,-12,9,8
228,2,8,6,1
229,5,4,-7,-15
230,-8,-7,-6,12
231,5,-15,13,4
232,-5,-10,-1,-6
233,-1,4,5,9
234,-1,5,8,6
235,-9,-9,15,-1
236,-4,-14,-6,9
237,3,10,-15,15
238,-14,-7,-6,-11
239,14,-3,-10,3
240,10,2,-3,-7
241,2,-3,-15,-10
242,-12,-8,-6,-13
243,4,12,-11,5
244,-11,-11,0,11
245,-13,4,14,-11
246,8,-7,-2,7
247,10,-8,13,-12
248,-1,7,6,-10
249,12,-5,2,-7
250,10,-12,-7,-3
251,6,-2,8,9
252,-5,-10,-12,-12
253,-12,-10,-6,6
254,-5,-12,15,-6
255,2,7,4,9
256,9,4,11,0
257,-14,-15,1,10
258,-7,6,14,4
259,10,6,-3,-6
260,5,5,-2,11
261,3,-1,-2,-7
262,-5,-11,11,-4
263,-13,-11,12,10
264,-11,-15,-6,10
265,5,-6,-11,-13
266,-8,-1,1,10
267,4,-3,-10,6
268,13,3,-15,-5
269,8,10,8,-15
270,-7,2,-7,8
271,4,-6,-6,-10
272,5,-7,-2,0
273,10,5,8,-12
274,-2,-14,-15,-2
275,6,-14,5,12
276,8,8,10,-5
277,4,2,-14,-12
278,13,-13,-7,-9
279,8,15,-8,-14
280,-12,-15,-1,-11
281,3,-13,-14,-12
282,-1,-11,-4,-3
283,8,12,8,11
284,13,-2,-5,-2
285,-7,2,8,-9
286,-13,5,-10,-9
287,-4,8,4,14
288,-1,1,4,-11
289,1,-3,12,15
290,7,-2,-4,3
291,-11,3,6,4
292,5,-14,-8,-9
293,8,2,-15,-10
294,11,-3,4,9
295,-7,0,14,-11
296,11,2,-15,-2
297,11,1,14,-9
298,-13,14,-11,-9
299,6,-6,13,10
300,11,-6,14,-3
301,-12,4,-4,13
302,2,13,5,12
303,-7,10,-14,11
304,14,11,11,-3
305,10,-2,2,-7
306,14,-13,-10,13
307,-13,-4,10,-13
308,0,10,4,-10
309,-3,6,-5,14
310,-14,-2,6,-7
311,1,0,-6,5
312,8,-4,-10,13
313,-12,-12,-2,6
314,10,-1,15,9
315,-8,9,-15,5
316,-12,-14,4,-1
317,-10,-6,-3,12
318,10,-12,-1,-15
319,2,7,-3,-1
320,-1,4,-10,3
321,-7,-8,-9,-7
322,-1,-4,-2,-14
323,14,5,5,3
324,-8,4,12,15
325,2,15,5,-12
326,-11,-10,9,9
327,0,10,-12,0
328,13,8,14,10
329,4,-6,-11,7
330,-12,8,4,-7
331,-12,8,-5,4
332,-1,-3,-14,14
333,11,-15,5,-11
334,5,-10,1,9
335,-12,10,11,-11
336,-7,-12,-6,14
337,6,7,3,-10
338,13,-14,-10,-8
339,6,-10,-14,-2
340,-5,12,-8,7
341,9,6,14,4
342,0,-3,9,-2
343,2,1,6,-13
344,-4,-4,-8,-12
345,-6,-10,-7,5
346,-10,3,9,-7
347,2,15,15,-7
348,15,-14,-7,4
349,-11,-8,-12,-5
350,12,0,-1,-4
351,-13,12,15,14
352,-6,9,2,9
353,0,15,-11,12
354,-4,-14,12,-12
355,-2,6,-4,11
356,-3,11,14,-5
357,-15,6,-13,13
358,-9,5,-15,-5
359,-2,11,11,4
360,-8,-3,1,-14
361,10,2,0,0
362,3,9,5,13
363,3,-12,-14,-11
364,-14,-3,-4,-9
365,3,-11,0,-1
366,-6,-4,11,9
367,9,-7,6,-7
368,6,-15,11,-6
369,5,-6,-2,14
370,10,-4,14,-1
371,-10,-14,10,7
372,9,4,9,-6
373,9,-15,8,2
374,6,0,13,13
375,8,9,-6,-13
376,11,-3,5,8
377,7,-11,-2,-7
378,-11,5,12,1
379,8,-4,7,-7
380,-2,3,5,-6
381,0,12,0,1
382,-5,10,-6,15
383,12,-8,2,-9
384,1,1,3,6
385,3,3,-14,15
386,-1,6,-15,-8
387,6,-5,13,15
388,9,8,-5,-2
389,14,13,-1,1
390,8,-14,8,-11
391,1,5,-1,3
392,-15,-8,3,-12
393,-2,-4,-12,9
394,5,-11,13,15
395,9,-11,4,15
396,-9,-14,4,-2
397,-6,-15,9,7
398,-14,-12,1,-9
399,-10,-7,9,-11
400,13,-13,-7,-10
401,-13,11,14,-6
402,9,-4,14,0
403,2,-10,0,8
404,-8,6,10,8
405,-5,7,13,-12
406,14,-2,4,-4
407,-5,8,-10,5
408,15,-2,13,7
409,4,7,0,-8
410,15,11,-1,9
411,-7,-5,-6,-1
412,-15,-6,10,8
413,-11,2,6,-2
414,-13,-2,-11,10
415,-5,-4,11,-13
416,-1,4,-14,5
417,-3,-11,12,1
418,12,12,9,11
419,2,-5,2,-11
420,-2,-5,-5,-3
421,4,-6,6,-15
422,-9,12,-1,12
423,13,1,0,2
424,13,-4,0,11
425,2,-10,8,-1
426,-1,-10,-5,-4
427,0,-14,-6,7
428,0,2,-6,-9
429,4,1,0,5
430,15,0,11,-11
431,-14,1,-4,1
432,7,-9,0,-2
433,-5,7,-6,-3
434,8,-3,1,-4
435,14,-14,9,2
436,-3,6,0,3
437,-11,6,11,0
438,-4,-10,1,2
439,-4,-6,15,7
440,2,-4,4,-1
441,-9,5,12,8
442,-9,-4,7,15
443,-8,0,-6,8
444,0,-6,-10,-1
445,-8,-13,1,7
446,-12,4,-1,-15
447,10,1,15,1
448,1,-5,-15,-5
449,-7,-8,-14,7
450,-10,8,-10,14
451,7,9,13,15
452,14,-1,-12,3
453,15,0,15,1
454,-7,-13,-14,12
455,11,-14,-13,8
456,-4,-8,-10,6
457,3,-15,2,0
458,10,9,-8,4
459,-12,-4,-2,8
460,11,-4,-2,-2
461,-11,7,13,2
462,-4,13,14,-6
463,6,-6,-5,6
464,14,1,2,4
465,-11,3,3,-6
466,-12,1,11,2
467,-9,9,-14,7
468,-2,-15,-15,-12
469,-14,7,5,-12
470,-10,5,-13,14
471,-9,-12,-14,7
472,1,2,-3,-15
473,7,4,3,-9
474,-9,-11,-3,-1
475,-2,6,-11,-7
476,6,9,-11,14
477,14,-4,2,0
478,-7,0,4,0
479,-4,-12,-12,2
480,5,3,-8,15
481,12,-1,-2,0
482,15,-12,-13,-13
483,-15,0,-5,-3
484,-13,13,14,14
485,15,10,-5,-6
486,7,10,-8,12
487,7,4,8,-7
488,6,4,-2,-1
489,-12,9,-4,14
490,4,14,-5,-14
491,11,4,2,6
492,8,8,0,-13
493,14,-3,1,-14
494,6,-12,-11,-6
495,6,7,15,-1
496,13,12,2,-14
497,5,-14,14,-9
498,-7,-2,-10,-7
499,5,-6,2,-7
500,-1,-6,9,11
501,-14,-5,8,2
502,7,-6,6,-12
503,4,-10,10,4
504,-10,-4,8,13
505,-8,6,-14,-8
506,0,15,5,3
507,10,-13,4,15
508,0,15,6,-5
509,-8,13,7,0
510,0,-15,-1,-10
511,8,8,0,0
512,5,4,3,-13
513,-11,-6,-13,4
514,-2,-10,14,10
515,14,10,14,4
516,14,-9,-10,-2
517,-4,-1,9,-1
518,14,-1,-6,-2
519,-15,2,-9,6
520,9,4,8,-4
521,-12,2,-11,-1
522,-11,-1,6,0
523,-10,9,-6,7
524,15,9,-3,3
525,-10,-10,0,-2
526,14,-6,11,-7
527,-12,11,-15,-10
528,9,4,14,2
529,-4,-10,13,-11
530,11,13,-8,0
531,-10,-10,3,-12
532,5,-12,2,-7
533,-3,9,-11,11
534,-11,14,-9,-3
535,-4,-2,-11,-4
536,9,0,14,4
537,13,-13,0,4
538,-6,-9,-12,-13
539,-9,-12,3,-12
540,-9,7,6,-13
541,-3,-15,15,5
542,-6,15,-2,11
543,15,-13,15,-2
544,-14,-15,-13,14
545,8,-9,5,-4
546,13,5,-6,-12
547,-12,-11,6,-14
548,2,-7,8,-1
549,7,-7,3,14
550,5,-12,14,-13
551,-15,2,-6,-1
552,-2,-9,8,3
553,8,5,-5,7
554,-11,-13,-5,-1
555,-11,7,7,12
556,-11,9,-13,-11
557,-10,-7,-15,11
558,-13,1,-15,-7
559,2,-5,3,-14
560,-15,9,9,4
561,-11,12,-5,-3
562,-10,-10,-6,1
563,-11,0,14,4
564,11,0,-1,-15
565,8,-15,-2,5
566,-6,12,3,-7
567,-11,11,6,-8
568,-3,8,8,-9
569,15,-2,-7,-15
570,-10,7,-14,3
571,15,7,2,1
572,-4,12,-15,-5
573,-11,-15,-6,-4
574,9,9,4,14
575,-12,-7,10,15
576,-2,-4,-1,-1
577,8,5,8,-8
578,-15,5,4,8
579,-13,9,0,3
580,12,-15,-14,0
581,2,5,5,-1
582,7,3,4,1
583,7,-7,7,-3
584,-14,4,-5,2
585,-6,13,9,15
586,-11,-10,-3,-4
587,15,-15,-8,3
588,-9,-5,12,-8
589,10,14,-13,0
590,9,-10,7,-5
591,1,-14,-12,-11
592,-9,0,-5,7
593,15,10,12,-1
594,3,-15,1,12
595,-5,4,-10,-5
596,12,-7,12,2
597,1,-10,-1,15
598,-6,0,5,9
599,8,15,-10,8
600,-10,13,-11,3
601,12,-8,5,0
602,-9,-2,-3,1
603,-3,1,6,13
604,-13,15,2,-8
605,6,10,-15,8
606,12,12,-15,-10
607,4,-9,-4,14
608,10,-11,12,10
609,-4,-14,6,-11
610,4,12,-14,-12
611,7,14,-7,-5
612,10,15,1,-13
613,-2,-6,-9,13
614,6,4,-8,12
615,12,-12,-6,-12
616,-15,8,-6,9
617,-6,4,-14,-1
618,7,-11,11,-5
619,-9,12,3,8
620,-11,-2,-10,11
621,10,-12,-9,-2
622,-2,2,-7,9
623,-13,-3,0,-13
624,-4,4,-6,-11
625,12,0,-14,-3
626,11,14,11,4
627,-10,-1,-14,13
628,1,-1,-12,10
629,-12,5,5,7
630,4,7,-13,-6
631,-1,-9,6,9
632,-3,-5,-10,-11
633,9,1,12,-10
634,9,15,-4,-10
635,13,12,2,8
636,13,-11,-15,-5
637,-2,4,-3,8
638,-5,15,-5,-13
639,-6,-5,-6,14
640,3,12,12,-10
641,6,2,-3,1
642,11,-1,-10,14
643,-9,13,4,-15
644,1,-1,-14,2
645,-4,-14,-7,6
646,-7,11,12,-3
647,4,-5,12,12
648,-8,6,-10,-8
649,4,-5,-5,-7
650,-10,-1,-1,-8
651,4,-11,2,-11
652,7,-14,8,-3
653,-1,-7,9,6
654,6,3,7,1
655,7,3,-1,-4
656,-2,-3,13,2
657,-5,-2,5,2
658,-6,-5,0,2
659,14,9,10,14
660,14,12,-13,2
661,-15,1,5,-2
662,2,-2,-7,6
663,-2,-13,11,3
664,0,6,13,-2
665,-3,-15,-13,0
666,-9,2,-9,4
667,12,7,13,-10
668,-12,14,-9,-8
669,-15,-14,3,-8
670,-9,4,-14,-13
671,-10,-1,-9,15
672,-6,-5,-15,-12
673,-15,-4,12,10
674,1,6,-11,-5
675,0,0,-6,7
676,-15,8,-5,11
677,-5,-1,3,11
678,12,7,14,-15
679,-5,-9,-6,12
680,-3,-3,9,10
681,7,7,4,4
682,4,-10,-11,-3
683,-10,-2,-4,-1
684,-13,3,-8,2
685,-15,9,13,-4
686,-14,-4,6,15
687,-10,8,-12,3
688,-5,-8,15,-12
689,-14,-8,0,14
690,5,8,-8,4
691,3,-9,-7,13
692,2,11,15,-10
693,0,9,8,-14
694,-1,-11,-6,6
695,-8,-2,8,15
696,10,1,14,-1
697,-2,3,0,13
698,2,4,-1,15
699,-11,7,-12,6
700,3,-8,5,1
701,-1,13,5,-7
702,3,-1,-4,14
703,-11,-2,-5,11
704,-6,9,-7,-13
705,5,7,-6,-5
706,2,2,12,4
707,-3,-7,1,-13
708,-2,5,-15,-13
709,-15,15,12,4
710,-9,-9,-4,-5
711,-15,3,-6,-2
712,15,-2,-12,-12
713,-4,11,-5,-15
714,-14,13,6,3
715,-13,-8,5,1
716,-2,4,-2,-11
717,-11,9,-6,13
718,2,2,-13,-9
719,8,2,8,1
720,-7,5,11,-1
721,-8,14,13,7
722,1,-15,13,-1
723,-14,-14,-8,2
724,4,1,-13,5
725,-4,-14,-7,11
726,10,-8,-12,4
727,0,0,11,12
728,11,7,-6,8
729,14,8,4,11
730,12,6,4,5
731,-14,1,14,8
732,4,15,-1,-14
733,11,14,4,-1
734,1,-8,0,-13
735,-2,-3,0,7
736,-1,10,7,8
737,8,-6,-7,5
738,-7,-8,6,-12
739,11,-13,-8,-2
740,5,8,8,5
741,-11,-14,-12,12
742,-2,10,13,2
743,3,11,12,-10
744,1,-15,-9,-12
745,11,-2,13,-12
746,5,7,1,5
747,-12,8,-6,-1
748,12,0,-14,15
749,3,5,-15,-13
750,2,-9,-7,-7
751,12,-13,0,-8
752,-8,7,-11,11
753,-2,15,2,-11
754,11,13,-11,5
755,4,1,13,9
756,11,-10,1,14
757,-13,-4,10,12
758,4,-6,0,-1
759,13,-6,-9,2
760,6,-13,-13,10
761,-5,10,12,5
762,-4,-8,1,-6
763,6,5,-12,-6
764,13,-9,-10,-10
765,5,-3,11,12
766,-8,15,-6,9
767,-9,-15,-4,9
768,14,-2,-8,4
769,-1,-2,13,11
770,5,12,0,-9
771,-15,-8,-2,7
772,-4,3,-6,-4
773,15,-11,-6,-14
774,12,1,-10,-5
775,-14,15,1,13
776,-13,-11,-2,-13
777,-15,10,-2,-15
778,-8,-8,-3,-2
779,-15,1,-11,13
780,-7,-8,-1,-6
781,8,3,-13,-14
782,7,-12,-3,-12
783,-2,-10,-9,-2
784,8,-1,6,-11
785,4,-8,-4,13
786,-7,-13,-4,-3
787,-11,15,-11,-6
788,-4,-2,10,13
789,-4,-3,8,10
790,15,11,9,13
791,-7,-9,10,-6
792,-10,13,1,3
793,4,6,1,-5
794,4,13,-5,1
795,0,0,5,-6
796,-11,-11,15,7
797,-6,-6,-5,-9
798,-14,-4,0,-10
799,15,-13,-12,1
800,2,-5,6,-11
801,8,12,-7,4
802,-14,6,4,2
803,-10,7,12,9
804,-7,8,-9,2
805,-3,11,-2,-14
806,-2,4,5,12
807,-8,-6,-5,2
808,11,5,8,-7
809,2,14,5,14
810,0,-7,-7,-2
811,-6,2,3,-15
812,2,-15,12,13
813,-14,14,-14,-15
814,-1,-7,3,-7
815,-10,10,-5,2
816,8,3,1,11
817,-3,-10,10,9
818,-9,-11,13,-7
819,7,4,4,6
820,-15,-3,-4,12
821,-10,10,-1,-13
822,6,-10,8,-7
823,-12,-9,-8,5
824,-14,-10,8,-11
825,-12,15,-11,-1
826,-4,8,-15,-5
827,12,-3,6,9
828,-14,3,12,0
829,13,-3,-12,13
830,-14,5,10,8
831,10,-5,8,-6
832,-2,7,15,-15
833,-10,11,-5,-6
834,12,4,-8,8
835,-1,13,12,10
836,-5,11,1,0
837,-2,1,0,-5
838,-3,5,7,-3
839,12,-3,-15,-13
840,14,-13,1,14
841,-13,2,3,10
842,13,-6,-10,10
843,-2,8,10,12
844,2,-7,3,12
845,-10,-14,-9,-9
846,-3,-13,-2,1
847,-7,-9,-13,15
848,8,2,11,9
849,-5,-2,2,-9
850,-2,10,-2,-10
851,-6,10,4,-2
852,15,3,14,15
853,5,-11,-5,2
854,5,14,-13,-11
855,4,-8,13,11
856,-1,-1,6,-9
857,5,4,-15,10
858,-10,13,-9,-6
859,1,2,7,-7
860,-10,2,1,14
861,1,0,7,11
862,-8,-15,-10,-15
863,6,12,-11,-6
864,-3,-15,3,-11
865,-1,-4,8,14
866,15,12,-4,-10
867,7,8,-2,-11
868,-10,15,2,-6
869,10,2,-13,-2
870,-12,-2,-7,-1
871,-13,-12,-7,11
872,-13,4,-14,-1
873,-14,0,4,-3
874,-6,-5,-2,1
875,14,-13,-6,-8
876,-12,-7,9,14
877,11,-8,4,-10
878,-15,-9,2,-12
879,-6,11,6,-14
880,9,-7,6,-12
881,-14,-6,11,4
882,-6,-10,3,0
883,5,-12,4,-5
884,-9,-3,8,-15
885,-7,-3,-3,0
886,12,1,-3,2
887,8,7,-9,-10
888,12,-6,-6,1
889,-7,-1,-15,6
890,-12,-3,15,-15
891,-4,1,2,6
892,4,-7,-9,-10
893,14,10,15,1
894,0,12,5,4
895,15,-11,-6,2
896,8,11,-9,-4
897,-2,4,-5,0
898,-4,6,15,10
899,1,-10,13,13
900,-14,0,13,-15
901,-8,3,10,4
902,-4,6,5,-13
903,-15,0,5,14
904,-10,-6,-3,-14
905,15,12,10,-6
906,-14,-2,-7,-8
907,1,2,-12,-1
908,-12,2,11,12
909,-13,-13,8,9
910,8,-1,-13,12
911,15,5,-4,7
912,7,-14,1,2
913,-4,3,0,-3
914,-9,-4,15,-11
915,-10,11,-7,7
916,11,0,-12,14
917,10,13,13,-10
918,-9,1,0,13
919,13,14,-9,3
920,-3,3,0,3
921,12,-10,11,15
922,-5,-2,4,-4
923,2,1,-12,2
924,10,5,-12,9
925,-12,-5,13,6
926,12,15,-6,-14
927,8,7,-10,-1
928,1,14,4,7
929,7,-14,-8,4
930,11,14,15,-13
931,7,11,12,-6
932,-14,-8,11,-10
933,-15,-9,9,1
934,5,-2,-6,8
935,9,-11,-9,5
936,14,-6,11,-12
937,3,7,3,4
938,-10,11,-5,12
939,-13,4,-15,5
940,5,6,-10,4
941,-5,-5,-5,-6
942,5,0,-4,7
943,-15,-5,4,6
944,-12,-2,14,12
945,-2,-14,4,-12
946,-3,-11,6,-12
947,1,-4,1,-14
948,-3,9,1,10
949,-1,7,9,7
950,14,-3,11,-12
951,-7,-15,7,-8
952,15,-10,11,7
953,9,-11,-11,-1
954,-15,6,-12,-4
955,-14,0,5,-3
956,-5,6,-11,-13
957,-1,4,-13,-2
958,-9,-15,13,-7
959,10,15,-6,-6
960,-10,-9,14,10
961,-6,-13,11,-1
962,-3,-13,-11,-4
963,15,4,6,-9
964,-13,-4,-12,14
965,3,12,-9,11
966,13,-2,-6,-9
967,4,4,-11,-1
968,-9,-4,10,6
969,13,-2,-4,3
970,-14,1,2,6
971,-15,-8,-15,-10
972,-3,-12,-5,-10
973,-11,-2,-2,-13
974,-4,-10,-4,-1
975,-7,15,1,1
976,-9,-3,4,0
977,3,3,7,3
978,0,0,2,11
979,3,-8,7,4
980,10,-8,-13,10
981,-14,-15,0,7
982,15,5,-5,-6
983,4,4,10,13
984,5,10,-2,8
985,-10,-5,2,9
986,10,-6,-10,-1
987,-5,12,-11,10
988,-1,1,8,-9
989,5,10,-11,4
990,-9,11,8,-4
991,10,-6,-1,-14
992,2,1,5,8
993,-2,13,8,2
994,12,7,-5,-2
995,10,-4,13,-6
996,9,13,14,3
997,12,-15,6,-10
998,-9,-7,-7,-4
999,2,3,-3,1
1000,1,-7,12,-11
1001,0,-12,13,2
1002,13,9,0,1
1003,-1,-1,9,-11
1004,6,-9,-12,-3
1005,-13,4,5,6
1006,9,-9,13,0
1007,-6,1,-6,-1
1008,8,6,-11,10
1009,-13,9,2,0
1010,-3,4,12,5
1011,9,-10,10,-11
1012,6,4,15,2
1013,4,2,1,7
1014,6,6,-9,11
1015,-5,-12,2,1
1016,-13,11,11,-2
1017,14,5,-6,9
1018,-6,-2,-7,15
1019,12,-8,0,-9
1020,-13,5,-6,-3
1021,7,12,-9,10
1022,5,-6,3,-2
1023,-6,3,-12,3
1024,0,-6,-3,13
1025,7,-14,11,-10
1026,10,-9,-9,6
1027,-10,-7,-12,-12
1028,7,-15,-10,-2
1029,-5,-13,-13,-1
1030,-8,-5,9,3
1031,9,3,-12,-7
1032,-13,-14,1,-7
1033,-14,-6,-6,11
1034,-15,-9,0,-3
1035,-15,12,13,-4
1036,-8,9,-8,-1
1037,15,5,-7,-1
1038,10,12,-7,-9
1039,-15,0,12,-3
1040,-9,-6,-12,0
1041,-3,8,5,7
1042,-5,3,-5,5
1043,-15,12,4,3
1044,-4,-13,7,12
1045,12,0,11,5
1046,-10,-12,5,-11
1047,-3,-10,-12,-3
1048,-8,14,-12,0
1049,7,-11,-11,-4
1050,1,10,2,11
1051,5,-14,7,8
1052,-7,-10,-2,-6
1053,-8,9,-6,-9
1054,-11,-2,-14,3
1055,2,-10,-4,-12
1056,-2,13,4,15
1057,5,12,8,-8
1058,10,-6,-14,15
1059,-15,-11,8,10
1060,-10,-5,-4,-15
1061,1,13,12,-3
1062,15,7,-4,11
1063,-12,8,-8,11
1064,15,5,15,-12
1065,13,1,-14,4
1066,9,7,15,1
1067,10,12,-6,10
1068,0,-2,8,-8
1069,-11,11,1,-3
1070,1,-14,-8,4
1071,0,-8,-4,-8
1072,-3,-9,-10,-15
1073,-11,13,10,-14
1074,10,-8,10,-5
1075,-9,13,-4,-8
1076,4,-13,1,11
1077,-6,-9,-3,-1
1078,-13,-2,8,15
1079,2,-9,7,3
1080,13,14,-6,5
1081,4,10,-10,7
1082,6,9,15,14
1083,5,-3,-8,3
1084,-2,7,2,6
1085,-12,-11,8,13
1086,-15,7,13,14
1087,5,-4,0,-15
1088,14,-3,-4,-9
1089,9,12,-13,-2
1090,12,-5,14,2
1091,9,-11,-14,15
1092,-2,-6,-9,0
1093,-12,3,2,11
1094,-9,10,-2,-13
1095,0,9,9,-9
1096,1,-4,0,-1
1097,5,1,-5,-8
1098,9,11,3,-7
1099,5,-6,-15,-2
1100,-14,12,12,5
1101,-15,-3,3,4
1102,-10,14,7,-10
1103,4,4,15,-15
1104,-4,-1,1,-15
1105,5,12,-1,-14
1106,3,2,14,-7
1107,-11,-14,13,-11
1108,-13,-2,-13,8
1109,8,3,4,-14
1110,-4,13,-1,-10
1111,-6,-11,-2,-2
1112,11,-4,7,3
1113,12,-3,-7,-6
1114,8,-3,-13,-13
1115,5,-15,-9,12
1116,-2,6,11,-14
1117,1,3,-3,-8
1118,1,-4,-4,-15
1119,-13,-9,-15,-4
1120,-10,11,9,0
1121,-9,7,0,4
1122,-3,-1,1,1
1123,-14,0,-12,-2
1124,-10,-15,14,13
1125,13,-4,4,-5
1126,-13,13,-2,2
1127,4,15,8,6
1128,15,-10,-11,4
1129,13,3,12,0
1130,5,-9,-1,-11
1131,1,-5,4,-5
1132,15,-1,11,-11
1133,10,-7,1,-2
1134,13,-4,-5,-13
1135,12,-14,13,4
1136,-10,12,13,3
1137,14,13,6,15
1138,2,-12,-1,1
1139,10,4,5,11
1140,-4,7,7,2
1141,3,-11,3,-7
1142,-2,9,3,-3
1143,-3,-2,5,-9
1144,4,5,-2,-13
1145,8,12,13,10
1146,-15,-13,-2,-1
1147,-13,-12,-7,12
1148,5,11,-14,-5
1149,-5,-1,-7,-15
1150,-14,11,-15,-13
1151,-4,6,14,-3
1152,1,7,-4,6
1153,-1,7,-1,-3
1154,9,2,15,6
1155,2,-6,-9,10
1156,-10,-4,9,-14
